Name,Symbol,ISIN,Security Type
ABB LTD N,ABBN,CH0012221716,Registered Share
ACCELLERON N,ACLN,CH1169360919,Registered Share
ADECCO N,ADEN,CH0012138605,Registered Share
ALCON N,ALC,CH0432492467,Registered Share
AMRIZE N,AMRZ,CH1430134226,Registered Share
AVOLTA N,AVOL,CH0023405456,Registered Share
BARRY CALLEBAUT N,BARN,CH0009002962,Registered Share
BELIMO N,BEAN,CH1101098163,Registered Share
CLARIANT N,CLN,CH0012142631,Registered Share
EMS-CHEMIE N,EMSN,CH0016440353,Registered Share
FLUGHAFEN ZUERICH N,FHZN,CH0319416936,Registered Share
GALDERMA GROUP N,GALD,CH1335392721,Registered Share
GALENICA N,GALE,CH0360674466,Registered Share
GEBERIT N,GEBN,CH0030170408,Registered Share
GEORG FISCHER N,GF,CH1169151003,Registered Share
GIVAUDAN N,GIVN,CH0010645932,Registered Share
HELVETIA BALOISE HOLDING N,HBAN,CH0466642201,Registered Share
HOLCIM N,HOLN,CH0012214059,Registered Share
JULIUS BAER N,BAER,CH0102484968,Registered Share
KUEHNE+NAGEL INT N,KNIN,CH0025238863,Registered Share
LINDT N,LISN,CH0010570759,Registered Share
LINDT PS,LISP,CH0010570767,Participation Certificate
LOGITECH N,LOGN,CH0025751329,Registered Share
LONZA N,LONN,CH0013841017,Registered Share
NESTLE N,NESN,CH0038863350,Registered Share
NOVARTIS N,NOVN,CH0012005267,Registered Share
PARTNERS GROUP N,PGHN,CH0024608827,Registered Share
PSP N,PSPN,CH0018294154,Registered Share
RICHEMONT N,CFR,CH0210483332,Registered Share
ROCHE I,RO,CH0012032113,Bearer Share
ROCHE PS,ROP,CH1499059983,Participation Certificate
SANDOZ GROUP N,SDZ,CH1243598427,Registered Share
SCHINDLER N,SCHN,CH0024638212,Registered Share
SCHINDLER PS,SCHP,CH0024638196,Participation Certificate
SGS N,SGSN,CH1256740924,Registered Share
SIG GROUP N,SIGN,CH0435377954,Registered Share
SIKA N,SIKA,CH0418792922,Registered Share
SONOVA N,SOON,CH0012549785,Registered Share
STRAUMANN N,STMN,CH1175448666,Registered Share
SUNRISE N,SUNN,CH1386220409,Registered Share
SWATCH GROUP I,UHR,CH0012255151,Bearer Share
SWISS LIFE HOLDING AG N,SLHN,CH0014852781,Registered Share
SWISS PRIME SITE N,SPSN,CH0008038389,Registered Share
SWISS RE N,SREN,CH0126881561,Registered Share
SWISSCOM N,SCMN,CH0008742519,Registered Share
SWISSQUOTE N,SQN,CH1548235246,Registered Share
TEMENOS N,TEMN,CH0012453913,Registered Share
UBS GROUP N,UBSG,CH0244767585,Registered Share
VAT GROUP N,VACN,CH0311864901,Registered Share
ZURICH INSURANCE N,ZURN,CH0011075394,Registered Share
